,Date/Time,Year,Month,Day,Max_Temp,Min_Temp,Mean_Temp
90,2014-04-01,2014,4,1,-0.6,-3.5,-2.1
91,2014-04-02,2014,4,2,-0.9,-3.8,-2.4
92,2014-04-03,2014,4,3,-3.0,-6.3,-4.7
93,2014-04-04,2014,4,4,1.3,-6.0,-2.4
94,2014-04-05,2014,4,5,0.2,-3.8,-1.8
95,2014-04-06,2014,4,6,3.0,-3.1,-0.1
96,2014-04-07,2014,4,7,3.7,-2.4,0.7
97,2014-04-08,2014,4,8,4.5,-3.8,0.4
98,2014-04-09,2014,4,9,10.3,-0.8,4.8
99,2014-04-10,2014,4,10,4.0,-3.8,0.1
100,2014-04-11,2014,4,11,8.4,-3.9,2.3
101,2014-04-12,2014,4,12,7.6,1.0,4.3
102,2014-04-13,2014,4,13,7.6,-4.2,1.7
103,2014-04-14,2014,4,14,3.2,-5.1,-1.0
104,2014-04-15,2014,4,15,14.0,0.3,7.2
105,2014-04-16,2014,4,16,18.8,3.5,11.2
106,2014-04-17,2014,4,17,6.0,-4.9,0.6
107,2014-04-18,2014,4,18,1.6,-7.0,-2.7
108,2014-04-19,2014,4,19,-0.6,-3.6,-2.1
109,2014-04-20,2014,4,20,0.6,-4.6,-2.0
110,2014-04-21,2014,4,21,6.8,-4.8,1.0
111,2014-04-22,2014,4,22,8.5,-0.7,3.9
112,2014-04-23,2014,4,23,0.2,-1.3,-0.6
113,2014-04-24,2014,4,24,1.5,-0.9,0.3
114,2014-04-25,2014,4,25,2.6,-0.2,1.2
115,2014-04-26,2014,4,26,7.7,0.0,3.9
116,2014-04-27,2014,4,27,4.0,0.3,2.2
117,2014-04-28,2014,4,28,2.8,-0.5,1.2
118,2014-04-29,2014,4,29,1.2,-2.0,-0.4
119,2014-04-30,2014,4,30,2.3,-5.7,-1.7
120,2014-05-01,2014,5,1,8.4,-3.8,2.3
121,2014-05-02,2014,5,2,3.1,-4.5,-0.7
122,2014-05-03,2014,5,3,7.0,-4.3,1.4
123,2014-05-04,2014,5,4,4.4,-0.2,2.1
124,2014-05-05,2014,5,5,1.4,-1.0,0.2
125,2014-05-06,2014,5,6,1.5,-1.0,0.3
126,2014-05-07,2014,5,7,3.9,-0.9,1.5
127,2014-05-08,2014,5,8,3.7,-1.1,1.3
128,2014-05-09,2014,5,9,6.8,-0.9,3.0
129,2014-05-10,2014,5,10,9.9,0.7,5.3
130,2014-05-11,2014,5,11,10.9,-1.8,4.6
131,2014-05-12,2014,5,12,7.6,-1.6,3.0
132,2014-05-13,2014,5,13,5.6,-3.6,1.0
133,2014-05-14,2014,5,14,3.7,-3.1,0.3
134,2014-05-15,2014,5,15,11.5,-2.0,4.8
135,2014-05-16,2014,5,16,19.7,3.6,11.7
136,2014-05-17,2014,5,17,18.8,3.0,10.9
137,2014-05-18,2014,5,18,10.8,3.1,7.0
138,2014-05-19,2014,5,19,10.1,2.7,6.4
139,2014-05-20,2014,5,20,10.7,3.2,7.0
140,2014-05-21,2014,5,21,18.5,5.9,12.2
141,2014-05-22,2014,5,22,14.7,5.1,9.9
142,2014-05-23,2014,5,23,15.8,6.5,11.2
143,2014-05-24,2014,5,24,10.5,2.2,6.4
144,2014-05-25,2014,5,25,4.3,1.8,3.1
145,2014-05-26,2014,5,26,5.0,2.4,3.7
146,2014-05-27,2014,5,27,3.8,2.5,3.2
147,2014-05-28,2014,5,28,3.5,1.2,2.4
148,2014-05-29,2014,5,29,5.7,-2.1,1.8
149,2014-05-30,2014,5,30,5.8,-1.9,2.0
150,2014-05-31,2014,5,31,8.4,-0.8,3.8
151,2014-06-01,2014,6,1,10.6,-0.8,4.9
152,2014-06-02,2014,6,2,15.2,-0.3,7.5
153,2014-06-03,2014,6,3,21.4,4.4,12.9
154,2014-06-04,2014,6,4,17.4,5.2,11.3
155,2014-06-05,2014,6,5,22.5,9.7,16.1
156,2014-06-06,2014,6,6,21.1,10.1,15.6
157,2014-06-07,2014,6,7,20.3,8.3,14.3
158,2014-06-08,2014,6,8,11.1,4.2,7.7
159,2014-06-09,2014,6,9,9.7,4.1,6.9
160,2014-06-10,2014,6,10,9.7,4.4,7.1
161,2014-06-11,2014,6,11,9.1,3.3,6.2
162,2014-06-12,2014,6,12,9.4,2.6,6.0
163,2014-06-13,2014,6,13,12.9,3.2,8.1
164,2014-06-14,2014,6,14,19.5,5.6,12.6
165,2014-06-15,2014,6,15,20.2,8.0,14.1
166,2014-06-16,2014,6,16,11.1,6.4,8.8
167,2014-06-17,2014,6,17,13.7,4.2,9.0
168,2014-06-18,2014,6,18,21.0,5.1,13.1
169,2014-06-19,2014,6,19,15.1,6.1,10.6
170,2014-06-20,2014,6,20,16.9,7.0,12.0
171,2014-06-21,2014,6,21,14.6,5.2,9.9
172,2014-06-22,2014,6,22,12.3,5.9,9.1
173,2014-06-23,2014,6,23,19.9,7.0,13.5
174,2014-06-24,2014,6,24,23.9,10.3,17.1
175,2014-06-25,2014,6,25,19.7,11.1,15.4
